binom_alpha,word1,word2,count_w1,count_w2,count_and,count_w1_and,count_and_w2,count_w2_and,count_and_w1,p_and_given_w1,p_w2_given_and,p_and_given_w2,p_w1_given_and,bigram_alpha,bigram_nonalpha
abashed and sorry,abashed,sorry,142,20966,2218200,28,70,228,10,0.045454545454545456,3.200077883585674e-05,0.010670021433230826,4.957867143583438e-06,1.4545808561753064e-06,5.2900548685146184e-08
abbots and acolytes,abbots,acolytes,34,4,2218200,3,0,0,3,0.007547169811320755,4.5071519487122165e-07,0.002,1.8028607794848866e-06,3.401624112235635e-09,3.605721558969773e-09
abysses and puddles,abysses,puddles,8,106,2218200,4,5,12,1,0.00992063492063492,2.70429116922733e-06,0.02159468438538206,9.014303897424433e-07,2.6828285409001286e-08,1.9466104761880004e-08
acorns and boulders,acorns,boulders,125,159,2218200,30,13,31,9,0.0499194847020934,6.310012728197103e-06,0.04885496183206107,4.507151948712216e-06,3.149925838552499e-07,2.20196736425635e-07
acorns and goblets,acorns,goblets,125,30,2218200,30,3,8,9,0.0499194847020934,1.8028607794848866e-06,0.017110266159695818,4.507151948712216e-06,8.999788110149997e-08,7.71185694646577e-08
acorns and lions,acorns,lions,125,1044,2218200,30,55,182,9,0.0499194847020934,2.5240050912788412e-05,0.11883116883116883,4.507151948712216e-06,1.2599703354209996e-06,5.35590134165153e-07
acorns and tigers,acorns,tigers,125,862,2218200,30,97,139,9,0.0499194847020934,4.417008909737972e-05,0.10309278350515463,4.507151948712216e-06,2.2049480869867493e-06,4.646548400734243e-07
acorns and valleys,acorns,valleys,125,411,2218200,30,56,85,9,0.0499194847020934,2.5690766107659634e-05,0.09481808158765159,4.507151948712216e-06,1.2824698056963746e-06,4.273595012009378e-07
actresses and lumberjacks,actresses,lumberjacks,167,10,2218200,15,0,2,27,0.024132730015082957,4.5071519487122165e-07,0.005928853754940711,1.2620025456394206e-05,1.0876988111522695e-08,7.482228531459015e-08
admirals and deckhands,admirals,deckhands,75,3,2218200,9,0,1,2,0.017513134851138354,4.5071519487122165e-07,0.004008016032064128,1.352145584613665e-06,7.893435987236807e-09,5.419421180816292e-09
