model,model_type,checkpoint,step,tokens,binom_alpha,total_training_occurrences,relfreq,prompt,binom,alpha_logprob,nonalpha_logprob,preference
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,abashed and sorry,28,0.5, ,abashed and sorry,-23.125,-17.203125,-5.921875
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,abbots and acolytes,52,0.5, ,abbots and acolytes,-34.875,-39.3125,4.4375
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,abysses and puddles,46,0.5, ,abysses and puddles,-27.890625,-27.046875,-0.84375
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,acorns and boulders,92,0.5, ,acorns and boulders,-17.34375,-19.625,2.28125
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,acorns and goblets,24,0.5, ,acorns and goblets,-23.328125,-29.25,5.921875
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,acorns and lions,72,0.5, ,acorns and lions,-16.59375,-20.734375,4.140625
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,acorns and tigers,30,0.5, ,acorns and tigers,-18.09375,-14.9140625,-3.1796875
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,acorns and valleys,46,0.5, ,acorns and valleys,-20.875,-22.6875,1.8125
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,actresses and lumberjacks,96,0.5, ,actresses and lumberjacks,-25.875,-29.46875,3.59375
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,admirals and deckhands,22,0.5, ,admirals and deckhands,-29.359375,-23.0,-6.359375
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,admirals and flowers,12,0.5, ,admirals and flowers,-15.96875,-12.84375,-3.125
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,admirals and knitting,24,0.5, ,admirals and knitting,-17.484375,-23.046875,5.5625
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,admirals and paupers,58,0.5, ,admirals and paupers,-21.0,-24.015625,3.015625
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,admirals and ribbons,16,0.5, ,admirals and ribbons,-18.15625,-19.65625,1.5
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,admirals and weavers,14,0.5, ,admirals and weavers,-22.03125,-27.375,5.34375
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,allergic and unaccustomed,28,0.5, ,allergic and unaccustomed,-27.921875,-33.46875,5.546875
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,amber and gravel,30,0.5, ,amber and gravel,-27.625,-21.015625,-6.609375
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,amethysts and pebbles,92,0.5, ,amethysts and pebbles,-25.984375,-26.484375,0.5
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,amphitheaters and gazebos,8,0.5, ,amphitheaters and gazebos,-45.09375,-43.8125,-1.28125
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,annoying and teal,4,0.5, ,annoying and teal,-23.0625,-24.9375,1.875
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,anthills and volcanoes,2,0.5, ,anthills and volcanoes,-28.078125,-31.984375,3.90625
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,ants and giraffes,100,0.5, ,ants and giraffes,-21.46875,-18.484375,-2.984375
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,ants and stars,56,0.5, ,ants and stars,-18.953125,-11.1171875,-7.8359375
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,anvils and coins,24,0.5, ,anvils and coins,-25.40625,-24.921875,-0.484375
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,aprons and swords,96,0.5, ,aprons and swords,-16.328125,-14.71875,-1.609375
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,archbishops and millers,36,0.5, ,archbishops and millers,-21.28125,-24.28125,3.0
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,archdukes and tanners,66,0.5, ,archdukes and tanners,-26.21875,-33.875,7.65625
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,archdukes and vagrants,28,0.5, ,archdukes and vagrants,-26.265625,-31.65625,5.390625
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,archipelagos and sandbars,58,0.5, ,archipelagos and sandbars,-32.46875,-29.546875,-2.921875
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,arenas and sheds,12,0.5, ,arenas and sheds,-20.671875,-26.15625,5.484375
