model,model_type,checkpoint,step,tokens,binom_alpha,total_training_occurrences,relfreq,prompt,binom,alpha_logprob,nonalpha_logprob,preference
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,arrows and flowers,32,0.5, ,arrows and flowers,-11.359375,-11.1640625,-0.1953125
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,asteroids and pebbles,92,0.5, ,asteroids and pebbles,-28.859375,-22.84375,-6.015625
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,avalanches and feathers,86,0.5, ,avalanches and feathers,-25.765625,-13.78125,-11.984375
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,avalanches and murmurs,46,0.5, ,avalanches and murmurs,-33.25,-21.5625,-11.6875
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,avalanches and snowballs,8,0.5, ,avalanches and snowballs,-31.53125,-24.78125,-6.75
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,axes and flowers,26,0.5, ,axes and flowers,-11.875,-13.078125,1.203125
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,axes and petals,86,0.5, ,axes and petals,-14.1171875,-17.53125,3.4140625
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,axes and ribbons,50,0.5, ,axes and ribbons,-15.203125,-18.375,3.171875
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,bacteria and candy,54,0.5, ,bacteria and candy,-17.578125,-14.2578125,-3.3203125
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,ballrooms and cellars,2,0.5, ,ballrooms and cellars,-24.234375,-22.109375,-2.125
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,banners and rags,44,0.5, ,banners and rags,-15.3515625,-14.890625,-0.4609375
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,banquets and crumbs,100,0.5, ,banquets and crumbs,-20.78125,-21.4375,0.65625
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,banyans and ferns,74,0.5, ,banyans and ferns,-22.5625,-21.375,-1.1875
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,barns and marbles,78,0.5, ,barns and marbles,-17.609375,-21.984375,4.375
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,barons and fishermen,36,0.5, ,barons and fishermen,-18.921875,-16.59375,-2.328125
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,barons and paupers,6,0.5, ,barons and paupers,-19.953125,-22.375,2.421875
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,barons and weavers,98,0.5, ,barons and weavers,-18.453125,-27.640625,9.1875
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,bassoons and kazoos,26,0.5, ,bassoons and kazoos,-22.90625,-29.46875,6.5625
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,battleaxes and penknives,60,0.5, ,battleaxes and penknives,-28.109375,-34.75,6.640625
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,battlements and cobwebs,66,0.5, ,battlements and cobwebs,-21.609375,-28.796875,7.1875
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,bears and buttons,58,0.5, ,bears and buttons,-11.765625,-10.0546875,-1.7109375
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,bears and kettles,12,0.5, ,bears and kettles,-13.9453125,-21.921875,7.9765625
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,bears and ribbons,44,0.5, ,bears and ribbons,-13.0703125,-16.484375,3.4140625
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,bears and seeds,80,0.5, ,bears and seeds,-10.953125,-10.109375,-0.84375
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,bears and teacups,42,0.5, ,bears and teacups,-17.46875,-20.4375,2.96875
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,beautiful and stinky,50,0.5, ,beautiful and stinky,-15.15625,-20.421875,5.265625
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,beetles and hills,94,0.5, ,beetles and hills,-21.765625,-11.3203125,-10.4453125
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,beetles and mammoths,60,0.5, ,beetles and mammoths,-26.828125,-22.21875,-4.609375
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,beetles and mastodons,70,0.5, ,beetles and mastodons,-34.375,-25.609375,-8.765625
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,beetles and moons,52,0.5, ,beetles and moons,-20.984375,-17.734375,-3.25
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,beggars and captains,88,0.5, ,beggars and captains,-24.734375,-16.125,-8.609375
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,beggars and dukes,10,0.5, ,beggars and dukes,-23.828125,-23.875,0.046875
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,bicycles and robots,66,0.5, ,bicycles and robots,-16.421875,-17.46875,1.046875
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,birdhouses and cathedrals,48,0.5, ,birdhouses and cathedrals,-24.453125,-29.609375,5.15625
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,birdhouses and skyscrapers,24,0.5, ,birdhouses and skyscrapers,-35.71875,-38.625,2.90625
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,birdhouses and turrets,14,0.5, ,birdhouses and turrets,-24.84375,-27.234375,2.390625
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,bishops and blacksmiths,72,0.5, ,bishops and blacksmiths,-19.15625,-23.734375,4.578125
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,bishops and potters,72,0.5, ,bishops and potters,-19.40625,-17.59375,-1.8125
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,bishops and seamstresses,38,0.5, ,bishops and seamstresses,-27.21875,-25.484375,-1.734375
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,bishops and vagabonds,40,0.5, ,bishops and vagabonds,-25.046875,-29.28125,4.234375
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,bison and sparrows,4,0.5, ,bison and sparrows,-24.40625,-23.21875,-1.1875
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,bitter and purple,48,0.5, ,bitter and purple,-12.2890625,-13.125,0.8359375
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,blacksmiths and lawyers,94,0.5, ,blacksmiths and lawyers,-25.625,-19.859375,-5.765625
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,blankets and kittens,30,0.5, ,blankets and kittens,-18.421875,-21.84375,3.421875
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,blizzards and butterflies,44,0.5, ,blizzards and butterflies,-16.765625,-21.125,4.359375
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,blizzards and flurries,44,0.5, ,blizzards and flurries,-24.953125,-23.796875,-1.15625
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,blizzards and mists,6,0.5, ,blizzards and mists,-24.625,-21.9375,-2.6875
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,bogs and tundras,30,0.5, ,bogs and tundras,-21.90625,-28.796875,6.890625
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,bombs and pebbles,92,0.5, ,bombs and pebbles,-17.03125,-20.40625,3.375
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,bonnets and cannons,78,0.5, ,bonnets and cannons,-20.0625,-26.484375,6.421875
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,bonnets and shields,56,0.5, ,bonnets and shields,-21.546875,-21.171875,-0.375
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,bonnets and swords,88,0.5, ,bonnets and swords,-19.390625,-14.3984375,-4.9921875
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,bonnets and wolves,30,0.5, ,bonnets and wolves,-20.03125,-18.0625,-1.96875
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,books and owls,100,0.5, ,books and owls,-15.265625,-16.890625,1.625
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,boulders and butterflies,94,0.5, ,boulders and butterflies,-17.734375,-18.234375,0.5
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,boulders and feathers,82,0.5, ,boulders and feathers,-17.359375,-12.796875,-4.5625
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,boulders and marbles,24,0.5, ,boulders and marbles,-19.703125,-21.828125,2.125
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,bowls and sharks,80,0.5, ,bowls and sharks,-17.4375,-15.4453125,-1.9921875
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,breezes and tornadoes,64,0.5, ,breezes and tornadoes,-24.53125,-24.109375,-0.421875
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,breezes and typhoons,10,0.5, ,breezes and typhoons,-32.40625,-24.015625,-8.390625
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,bridges and needles,50,0.5, ,bridges and needles,-19.09375,-20.359375,1.265625
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,buffaloes and sparrows,46,0.5, ,buffaloes and sparrows,-18.765625,-19.84375,1.078125
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,burlap and cashmere,8,0.5, ,burlap and cashmere,-25.34375,-36.03125,10.6875
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,burlap and velvet,18,0.5, ,burlap and velvet,-27.125,-30.234375,3.109375
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,butterflies and comets,42,0.5, ,butterflies and comets,-19.078125,-16.71875,-2.359375
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,butterflies and earthquakes,40,0.5, ,butterflies and earthquakes,-21.171875,-22.625,1.453125
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,butterflies and floods,74,0.5, ,butterflies and floods,-18.390625,-12.5546875,-5.8359375
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,butterflies and squalls,70,0.5, ,butterflies and squalls,-19.078125,-16.140625,-2.9375
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,butterflies and tempests,30,0.5, ,butterflies and tempests,-22.859375,-20.0625,-2.796875
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,buttons and castles,66,0.5, ,buttons and castles,-13.640625,-15.7421875,2.1015625
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,buttons and deer,48,0.5, ,buttons and deer,-11.90625,-11.8359375,-0.0703125
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,buttons and foxes,12,0.5, ,buttons and foxes,-11.6953125,-16.28125,4.5859375
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,buttons and lions,46,0.5, ,buttons and lions,-11.7578125,-17.90625,6.1484375
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,buttons and mountains,32,0.5, ,buttons and mountains,-13.265625,-12.890625,-0.375
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,buttons and seas,62,0.5, ,buttons and seas,-13.1328125,-12.4453125,-0.6875
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,buttons and whales,46,0.5, ,buttons and whales,-12.890625,-14.328125,1.4375
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,cabins and citadels,98,0.5, ,cabins and citadels,-23.0625,-27.9375,4.875
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,campfires and wildfires,94,0.5, ,campfires and wildfires,-23.6875,-23.453125,-0.234375
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,candles and foxes,44,0.5, ,candles and foxes,-16.921875,-15.515625,-1.40625
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,candles and galaxies,22,0.5, ,candles and galaxies,-17.9375,-19.25,1.3125
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,candles and gales,76,0.5, ,candles and gales,-14.296875,-14.3671875,0.0703125
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,candles and hurricanes,24,0.5, ,candles and hurricanes,-14.5,-13.5078125,-0.9921875
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,candles and nebulae,100,0.5, ,candles and nebulae,-20.359375,-30.1875,9.828125
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,cannons and darts,2,0.5, ,cannons and darts,-24.40625,-20.796875,-3.609375
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,cannons and needles,50,0.5, ,cannons and needles,-21.734375,-20.390625,-1.34375
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,cannons and slingshots,34,0.5, ,cannons and slingshots,-28.46875,-27.625,-0.84375
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,canyons and marbles,20,0.5, ,canyons and marbles,-26.453125,-24.859375,-1.59375
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,captains and flowers,56,0.5, ,captains and flowers,-12.546875,-14.5703125,2.0234375
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,cardinals and novices,8,0.5, ,cardinals and novices,-26.84375,-28.75,1.90625
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,carracks and skiffs,22,0.5, ,carracks and skiffs,-24.109375,-28.046875,3.9375
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,cashmere and flannel,76,0.5, ,cashmere and flannel,-30.9375,-32.28125,1.34375
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,catapults and slingshots,78,0.5, ,catapults and slingshots,-29.703125,-31.9375,2.234375
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,cathedrals and outhouses,14,0.5, ,cathedrals and outhouses,-32.40625,-25.84375,-6.5625
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,cathedrals and sheds,80,0.5, ,cathedrals and sheds,-25.84375,-22.328125,-3.515625
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,cauldrons and thimbles,96,0.5, ,cauldrons and thimbles,-20.609375,-24.90625,4.296875
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,cedars and mosses,52,0.5, ,cedars and mosses,-25.5,-22.046875,-3.453125
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,cellos and kazoos,24,0.5, ,cellos and kazoos,-16.265625,-24.53125,8.265625
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,cellos and triangles,16,0.5, ,cellos and triangles,-21.0625,-20.359375,-0.703125
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,chalices and thimbles,76,0.5, ,chalices and thimbles,-21.71875,-22.890625,1.171875
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,chalk and diamonds,40,0.5, ,chalk and diamonds,-19.5,-13.84375,-5.65625
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,chalk and tanzanite,70,0.5, ,chalk and tanzanite,-30.21875,-30.703125,0.484375
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,champagne and vinegar,90,0.5, ,champagne and vinegar,-20.59375,-23.734375,3.140625
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,chandeliers and torches,36,0.5, ,chandeliers and torches,-27.40625,-28.25,0.84375
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,chanting and enchanting,96,0.5, ,chanting and enchanting,-17.484375,-24.28125,6.796875
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,chasms and puddles,18,0.5, ,chasms and puddles,-24.4375,-23.453125,-0.984375
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,chauffeurs and stewardesses,58,0.5, ,chauffeurs and stewardesses,-32.71875,-36.0625,3.34375
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,cherries and llamas,90,0.5, ,cherries and llamas,-31.015625,-25.125,-5.890625
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,chestnuts and ferns,48,0.5, ,chestnuts and ferns,-19.515625,-21.140625,1.625
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,chickens and fences,68,0.5, ,chickens and fences,-17.453125,-21.890625,4.4375
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,chipmunks and gorillas,36,0.5, ,chipmunks and gorillas,-32.1875,-29.46875,-2.71875
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,churches and pebbles,54,0.5, ,churches and pebbles,-11.078125,-20.5,9.421875
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,civilizations and homesteads,18,0.5, ,civilizations and homesteads,-33.4375,-31.296875,-2.140625
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,clarinets and kazoos,94,0.5, ,clarinets and kazoos,-22.375,-24.203125,1.828125
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,clay and emeralds,34,0.5, ,clay and emeralds,-12.6640625,-20.25,7.5859375
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,claymores and penknives,10,0.5, ,claymores and penknives,-28.84375,-38.53125,9.6875
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,clearings and plateaus,6,0.5, ,clearings and plateaus,-30.953125,-26.40625,-4.546875
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,clearings and prairies,72,0.5, ,clearings and prairies,-20.765625,-23.453125,2.6875
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,cliffs and cobwebs,70,0.5, ,cliffs and cobwebs,-17.3125,-27.8125,10.5
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,cliffs and moths,18,0.5, ,cliffs and moths,-15.203125,-22.6875,7.484375
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,clocks and deer,56,0.5, ,clocks and deer,-15.8828125,-12.4921875,-3.390625
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,closets and dungeons,40,0.5, ,closets and dungeons,-21.546875,-19.90625,-1.640625
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,cobblers and colonels,54,0.5, ,cobblers and colonels,-28.78125,-28.9375,0.15625
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,cobblers and deacons,40,0.5, ,cobblers and deacons,-27.8125,-23.453125,-4.359375
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,cobblers and judges,32,0.5, ,cobblers and judges,-20.703125,-21.40625,0.703125
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,cobblers and marquesses,38,0.5, ,cobblers and marquesses,-27.28125,-26.859375,-0.421875
znhoughton/opt-babylm-1.3b-ablated-finetuned-20eps-seed964,finetuned,final,0,0,cobblers and monks,66,0.5, ,cobblers and monks,-22.5,-17.953125,-4.546875
